Starting Latent GRU experiment
Training...
wandb: Currently logged in as: 92danyalsultan (IML-Research) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run ywjya7u4
wandb: Tracking run with wandb version 0.23.0
wandb: Run data is saved locally in /mnt/parscratch/users/aca22mds/projects/latent-gru-world-model/Latent-GRU-World-Model/wandb/run-20260714_024246-ywjya7u4
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run latent-gru-train-hpc-a100-10825452
wandb: ⭐️ View project at https://wandb.ai/IML-Research/latent-gru-world-model
wandb: 🚀 View run at https://wandb.ai/IML-Research/latent-gru-world-model/runs/ywjya7u4
Using device: cuda
X: (19580, 20, 84)
Y: (19580, 77)
Device: cuda
GPU: NVIDIA A100-SXM4-80GB
Epoch 001 | Train 1.602334 | Val 1.082826 | Pred 0.545156 | Latent 0.012489 | Recon 0.525181
Epoch 002 | Train 0.770315 | Val 0.558176 | Pred 0.279677 | Latent 0.009258 | Recon 0.269240
Epoch 003 | Train 0.469041 | Val 0.403962 | Pred 0.202782 | Latent 0.008270 | Recon 0.192910
Epoch 004 | Train 0.362489 | Val 0.325999 | Pred 0.162768 | Latent 0.009132 | Recon 0.154098
Epoch 005 | Train 0.296025 | Val 0.275976 | Pred 0.138388 | Latent 0.008804 | Recon 0.128784
Epoch 006 | Train 0.248037 | Val 0.233040 | Pred 0.117084 | Latent 0.008093 | Recon 0.107863
Epoch 007 | Train 0.214177 | Val 0.209748 | Pred 0.105538 | Latent 0.007888 | Recon 0.096323
Epoch 008 | Train 0.190503 | Val 0.188033 | Pred 0.094545 | Latent 0.007030 | Recon 0.086458
Epoch 009 | Train 0.171851 | Val 0.171484 | Pred 0.086369 | Latent 0.006765 | Recon 0.078350
Epoch 010 | Train 0.157000 | Val 0.161411 | Pred 0.081403 | Latent 0.006510 | Recon 0.073498
Epoch 011 | Train 0.147902 | Val 0.151480 | Pred 0.076321 | Latent 0.006023 | Recon 0.069137
Epoch 012 | Train 0.138232 | Val 0.145065 | Pred 0.072493 | Latent 0.006914 | Recon 0.065658
Epoch 013 | Train 0.131880 | Val 0.136099 | Pred 0.067054 | Latent 0.006467 | Recon 0.062578
Epoch 014 | Train 0.125516 | Val 0.132529 | Pred 0.066576 | Latent 0.006152 | Recon 0.059800
Epoch 015 | Train 0.119602 | Val 0.127272 | Pred 0.064385 | Latent 0.005951 | Recon 0.056937
Epoch 016 | Train 0.115687 | Val 0.122637 | Pred 0.061819 | Latent 0.005572 | Recon 0.055245
Epoch 017 | Train 0.111346 | Val 0.119668 | Pred 0.060354 | Latent 0.005891 | Recon 0.053422
Epoch 018 | Train 0.107246 | Val 0.115879 | Pred 0.058301 | Latent 0.005912 | Recon 0.051666
Epoch 019 | Train 0.103473 | Val 0.112036 | Pred 0.056702 | Latent 0.005868 | Recon 0.049466
Epoch 020 | Train 0.100335 | Val 0.106512 | Pred 0.053721 | Latent 0.005635 | Recon 0.047156
Epoch 021 | Train 0.096930 | Val 0.102493 | Pred 0.052098 | Latent 0.005466 | Recon 0.044929
Epoch 022 | Train 0.093357 | Val 0.099953 | Pred 0.051060 | Latent 0.005131 | Recon 0.043761
Epoch 023 | Train 0.091657 | Val 0.095013 | Pred 0.047746 | Latent 0.005080 | Recon 0.042187
Epoch 024 | Train 0.087780 | Val 0.093993 | Pred 0.047357 | Latent 0.005367 | Recon 0.041269
Epoch 025 | Train 0.086594 | Val 0.093474 | Pred 0.046932 | Latent 0.005305 | Recon 0.041238
Epoch 026 | Train 0.084380 | Val 0.091909 | Pred 0.046831 | Latent 0.005468 | Recon 0.039610
Epoch 027 | Train 0.081808 | Val 0.086620 | Pred 0.043301 | Latent 0.005006 | Recon 0.038313
Epoch 028 | Train 0.080140 | Val 0.082758 | Pred 0.041142 | Latent 0.004973 | Recon 0.036643
Epoch 029 | Train 0.077300 | Val 0.086649 | Pred 0.044357 | Latent 0.005012 | Recon 0.037280
Epoch 030 | Train 0.075916 | Val 0.083465 | Pred 0.042284 | Latent 0.005727 | Recon 0.035455
Epoch 031 | Train 0.074568 | Val 0.084111 | Pred 0.043202 | Latent 0.005552 | Recon 0.035358
Epoch 032 | Train 0.073774 | Val 0.079171 | Pred 0.040017 | Latent 0.004813 | Recon 0.034341
Epoch 033 | Train 0.071066 | Val 0.082429 | Pred 0.041813 | Latent 0.006751 | Recon 0.033866
Epoch 034 | Train 0.069753 | Val 0.081549 | Pred 0.042727 | Latent 0.005220 | Recon 0.033602
Epoch 035 | Train 0.068662 | Val 0.074350 | Pred 0.037969 | Latent 0.004363 | Recon 0.032017
Epoch 036 | Train 0.067477 | Val 0.073957 | Pred 0.037552 | Latent 0.004962 | Recon 0.031443
Epoch 037 | Train 0.065865 | Val 0.072378 | Pred 0.036713 | Latent 0.004541 | Recon 0.031124
Epoch 038 | Train 0.064569 | Val 0.067501 | Pred 0.033914 | Latent 0.004168 | Recon 0.029418
Epoch 039 | Train 0.062695 | Val 0.070881 | Pred 0.036262 | Latent 0.004374 | Recon 0.030246
Epoch 040 | Train 0.062013 | Val 0.067681 | Pred 0.034504 | Latent 0.004440 | Recon 0.028737
Epoch 041 | Train 0.061589 | Val 0.068950 | Pred 0.035204 | Latent 0.004413 | Recon 0.029333
Epoch 042 | Train 0.060526 | Val 0.065989 | Pred 0.033533 | Latent 0.004269 | Recon 0.028187
Epoch 043 | Train 0.059563 | Val 0.066135 | Pred 0.034107 | Latent 0.004369 | Recon 0.027659
Epoch 044 | Train 0.059195 | Val 0.063374 | Pred 0.032447 | Latent 0.004021 | Recon 0.026907
Epoch 045 | Train 0.057195 | Val 0.063669 | Pred 0.032600 | Latent 0.004180 | Recon 0.026889
Epoch 046 | Train 0.056686 | Val 0.062133 | Pred 0.031750 | Latent 0.003880 | Recon 0.026502
Epoch 047 | Train 0.055394 | Val 0.063768 | Pred 0.032950 | Latent 0.004301 | Recon 0.026518
Epoch 048 | Train 0.055157 | Val 0.062202 | Pred 0.031981 | Latent 0.003918 | Recon 0.026302
Epoch 049 | Train 0.054140 | Val 0.058329 | Pred 0.029420 | Latent 0.003854 | Recon 0.025055
Epoch 050 | Train 0.053380 | Val 0.058459 | Pred 0.029554 | Latent 0.003939 | Recon 0.024966
Epoch 051 | Train 0.053118 | Val 0.061396 | Pred 0.031767 | Latent 0.004089 | Recon 0.025541
Epoch 052 | Train 0.052825 | Val 0.058246 | Pred 0.029806 | Latent 0.003815 | Recon 0.024626
Epoch 053 | Train 0.051641 | Val 0.057272 | Pred 0.029391 | Latent 0.003885 | Recon 0.023996
Epoch 054 | Train 0.050881 | Val 0.056676 | Pred 0.028882 | Latent 0.003883 | Recon 0.023911
Epoch 055 | Train 0.050730 | Val 0.063431 | Pred 0.033801 | Latent 0.005118 | Recon 0.024513
Epoch 056 | Train 0.051784 | Val 0.054889 | Pred 0.028168 | Latent 0.003630 | Recon 0.023091
Epoch 057 | Train 0.049093 | Val 0.060081 | Pred 0.031172 | Latent 0.004064 | Recon 0.024845
Epoch 058 | Train 0.049652 | Val 0.055266 | Pred 0.028946 | Latent 0.003757 | Recon 0.022564
Epoch 059 | Train 0.048766 | Val 0.052168 | Pred 0.026419 | Latent 0.003481 | Recon 0.022268
Epoch 060 | Train 0.047498 | Val 0.053147 | Pred 0.027478 | Latent 0.003542 | Recon 0.022127
Epoch 061 | Train 0.047028 | Val 0.051045 | Pred 0.026126 | Latent 0.003555 | Recon 0.021364
Epoch 062 | Train 0.047064 | Val 0.055020 | Pred 0.028377 | Latent 0.003586 | Recon 0.023057
Epoch 063 | Train 0.047778 | Val 0.051050 | Pred 0.026059 | Latent 0.003338 | Recon 0.021653
Epoch 064 | Train 0.045734 | Val 0.052855 | Pred 0.027398 | Latent 0.003543 | Recon 0.021914
Epoch 065 | Train 0.046286 | Val 0.051978 | Pred 0.026972 | Latent 0.003660 | Recon 0.021346
