Starting Latent GRU experiment
Training...
wandb: Currently logged in as: 92danyalsultan (IML-Research) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run e5sej2at
wandb: Tracking run with wandb version 0.23.0
wandb: Run data is saved locally in /mnt/parscratch/users/aca22mds/projects/latent-gru-world-model/Latent-GRU-World-Model/wandb/run-20260714_031545-e5sej2at
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run latent-gru-train-hpc-a100-10825543
wandb: ⭐️ View project at https://wandb.ai/IML-Research/latent-gru-world-model
wandb: 🚀 View run at https://wandb.ai/IML-Research/latent-gru-world-model/runs/e5sej2at
Using device: cuda
X: (19580, 20, 84)
Y: (19580, 77)
Device: cuda
GPU: NVIDIA A100-SXM4-80GB
Epoch 001 | Train 1.602363 | Val 1.148567 | Pred 0.578095 | Latent 0.011697 | Recon 0.558775
Epoch 002 | Train 0.845316 | Val 0.605986 | Pred 0.302702 | Latent 0.009708 | Recon 0.293576
Epoch 003 | Train 0.501080 | Val 0.424816 | Pred 0.212299 | Latent 0.010830 | Recon 0.201687
Epoch 004 | Train 0.376147 | Val 0.341161 | Pred 0.170642 | Latent 0.008602 | Recon 0.161918
Epoch 005 | Train 0.311900 | Val 0.290706 | Pred 0.145149 | Latent 0.007642 | Recon 0.137916
Epoch 006 | Train 0.270970 | Val 0.258234 | Pred 0.128450 | Latent 0.007459 | Recon 0.122325
Epoch 007 | Train 0.239091 | Val 0.227868 | Pred 0.114471 | Latent 0.006868 | Recon 0.106529
Epoch 008 | Train 0.216996 | Val 0.211659 | Pred 0.104530 | Latent 0.007349 | Recon 0.099779
Epoch 009 | Train 0.196250 | Val 0.191697 | Pred 0.096362 | Latent 0.007584 | Recon 0.087751
Epoch 010 | Train 0.179245 | Val 0.177675 | Pred 0.089239 | Latent 0.007438 | Recon 0.080997
Epoch 011 | Train 0.167700 | Val 0.167559 | Pred 0.084181 | Latent 0.007046 | Recon 0.076332
Epoch 012 | Train 0.156409 | Val 0.158201 | Pred 0.079640 | Latent 0.006946 | Recon 0.071615
Epoch 013 | Train 0.148031 | Val 0.148012 | Pred 0.074662 | Latent 0.006905 | Recon 0.066445
Epoch 014 | Train 0.138512 | Val 0.139806 | Pred 0.069676 | Latent 0.005899 | Recon 0.064231
Epoch 015 | Train 0.131172 | Val 0.136171 | Pred 0.068095 | Latent 0.007144 | Recon 0.060932
Epoch 016 | Train 0.126904 | Val 0.137187 | Pred 0.070013 | Latent 0.007603 | Recon 0.059570
Epoch 017 | Train 0.122176 | Val 0.125812 | Pred 0.063343 | Latent 0.006391 | Recon 0.056078
Epoch 018 | Train 0.116897 | Val 0.120852 | Pred 0.060670 | Latent 0.006113 | Recon 0.054070
Epoch 019 | Train 0.111133 | Val 0.115798 | Pred 0.058128 | Latent 0.006097 | Recon 0.051573
Epoch 020 | Train 0.107685 | Val 0.111987 | Pred 0.056491 | Latent 0.005870 | Recon 0.049626
Epoch 021 | Train 0.103637 | Val 0.110531 | Pred 0.055443 | Latent 0.005455 | Recon 0.049632
Epoch 022 | Train 0.101161 | Val 0.111628 | Pred 0.056495 | Latent 0.006764 | Recon 0.048369
Epoch 023 | Train 0.098026 | Val 0.104337 | Pred 0.052831 | Latent 0.006240 | Recon 0.045267
Epoch 024 | Train 0.094683 | Val 0.102616 | Pred 0.052472 | Latent 0.005774 | Recon 0.044370
Epoch 025 | Train 0.092910 | Val 0.096863 | Pred 0.048683 | Latent 0.005482 | Recon 0.042699
Epoch 026 | Train 0.089674 | Val 0.097786 | Pred 0.048957 | Latent 0.005523 | Recon 0.043306
Epoch 027 | Train 0.088766 | Val 0.097280 | Pred 0.049831 | Latent 0.006033 | Recon 0.041416
