X: (19580, 20, 84)
Y: (19580, 77)
Device: cpu
Epoch 001 | Train 1.572487 | Val 1.023443 | Pred 0.512723 | Latent 0.012152 | Recon 0.498568
Epoch 002 | Train 0.753104 | Val 0.565335 | Pred 0.282622 | Latent 0.010783 | Recon 0.271930
Epoch 003 | Train 0.467902 | Val 0.407808 | Pred 0.204693 | Latent 0.009189 | Recon 0.193926
Epoch 004 | Train 0.364970 | Val 0.339356 | Pred 0.171055 | Latent 0.008743 | Recon 0.159558
Epoch 005 | Train 0.307369 | Val 0.290727 | Pred 0.145611 | Latent 0.010134 | Recon 0.134982
Epoch 006 | Train 0.263367 | Val 0.249139 | Pred 0.123457 | Latent 0.008517 | Recon 0.117164
Epoch 007 | Train 0.229888 | Val 0.222969 | Pred 0.111079 | Latent 0.008025 | Recon 0.103865
Epoch 008 | Train 0.204867 | Val 0.196315 | Pred 0.097679 | Latent 0.007347 | Recon 0.091289
Epoch 009 | Train 0.184539 | Val 0.182407 | Pred 0.091090 | Latent 0.007530 | Recon 0.083787
Epoch 010 | Train 0.170257 | Val 0.174436 | Pred 0.086462 | Latent 0.008273 | Recon 0.079700
Epoch 011 | Train 0.159485 | Val 0.160445 | Pred 0.080279 | Latent 0.008417 | Recon 0.071749
Epoch 012 | Train 0.148007 | Val 0.149919 | Pred 0.075476 | Latent 0.007084 | Recon 0.067359
Epoch 013 | Train 0.138731 | Val 0.145152 | Pred 0.072822 | Latent 0.007525 | Recon 0.064806
Epoch 014 | Train 0.132109 | Val 0.138016 | Pred 0.069116 | Latent 0.007516 | Recon 0.061384
Epoch 015 | Train 0.125394 | Val 0.128790 | Pred 0.064782 | Latent 0.006588 | Recon 0.057420
Epoch 016 | Train 0.119593 | Val 0.123395 | Pred 0.061840 | Latent 0.006038 | Recon 0.055517
Epoch 017 | Train 0.113894 | Val 0.114725 | Pred 0.057504 | Latent 0.005546 | Recon 0.051675
Epoch 018 | Train 0.110669 | Val 0.114228 | Pred 0.057341 | Latent 0.005973 | Recon 0.050915
Epoch 019 | Train 0.106437 | Val 0.108351 | Pred 0.054268 | Latent 0.005387 | Recon 0.048696
Epoch 020 | Train 0.101987 | Val 0.104351 | Pred 0.052361 | Latent 0.005018 | Recon 0.046972
Epoch 021 | Train 0.099315 | Val 0.102147 | Pred 0.051318 | Latent 0.005167 | Recon 0.045661
Epoch 022 | Train 0.096397 | Val 0.099910 | Pred 0.050064 | Latent 0.005065 | Recon 0.044781
Epoch 023 | Train 0.093594 | Val 0.099839 | Pred 0.050627 | Latent 0.005388 | Recon 0.043825
Epoch 024 | Train 0.091465 | Val 0.096496 | Pred 0.048524 | Latent 0.005226 | Recon 0.042746
Epoch 025 | Train 0.087898 | Val 0.094319 | Pred 0.048241 | Latent 0.005193 | Recon 0.040885
Epoch 026 | Train 0.086748 | Val 0.093321 | Pred 0.047041 | Latent 0.004962 | Recon 0.041317
Epoch 027 | Train 0.084582 | Val 0.088287 | Pred 0.044360 | Latent 0.004935 | Recon 0.038992
Epoch 028 | Train 0.082143 | Val 0.088968 | Pred 0.045076 | Latent 0.005209 | Recon 0.038683
Epoch 029 | Train 0.080695 | Val 0.088235 | Pred 0.045017 | Latent 0.005265 | Recon 0.037953
Epoch 030 | Train 0.078436 | Val 0.082186 | Pred 0.041560 | Latent 0.004614 | Recon 0.036012
Epoch 031 | Train 0.076422 | Val 0.083200 | Pred 0.043289 | Latent 0.004800 | Recon 0.035110
Epoch 032 | Train 0.075408 | Val 0.083046 | Pred 0.042599 | Latent 0.004654 | Recon 0.035793
Epoch 033 | Train 0.073791 | Val 0.076497 | Pred 0.038252 | Latent 0.004455 | Recon 0.033790
Epoch 034 | Train 0.072321 | Val 0.084946 | Pred 0.044489 | Latent 0.005291 | Recon 0.035166
Epoch 035 | Train 0.072667 | Val 0.074522 | Pred 0.038186 | Latent 0.004514 | Recon 0.031822
Epoch 036 | Train 0.069336 | Val 0.077044 | Pred 0.039581 | Latent 0.004832 | Recon 0.032631
Epoch 037 | Train 0.069535 | Val 0.072581 | Pred 0.037087 | Latent 0.004542 | Recon 0.030952
Epoch 038 | Train 0.066419 | Val 0.072099 | Pred 0.036399 | Latent 0.004229 | Recon 0.031471
Epoch 039 | Train 0.065780 | Val 0.073334 | Pred 0.038029 | Latent 0.004661 | Recon 0.030644
Epoch 040 | Train 0.065074 | Val 0.071797 | Pred 0.036614 | Latent 0.004358 | Recon 0.030825
Epoch 041 | Train 0.064352 | Val 0.071247 | Pred 0.036749 | Latent 0.004738 | Recon 0.029760
Epoch 042 | Train 0.062671 | Val 0.068611 | Pred 0.035657 | Latent 0.004381 | Recon 0.028573
Epoch 043 | Train 0.061519 | Val 0.066207 | Pred 0.032989 | Latent 0.004080 | Recon 0.029139
Epoch 044 | Train 0.060648 | Val 0.067133 | Pred 0.034122 | Latent 0.004305 | Recon 0.028706
Epoch 045 | Train 0.060037 | Val 0.068354 | Pred 0.035008 | Latent 0.004289 | Recon 0.029056
Epoch 046 | Train 0.059786 | Val 0.065443 | Pred 0.033557 | Latent 0.003942 | Recon 0.027943
Epoch 047 | Train 0.058923 | Val 0.067847 | Pred 0.034743 | Latent 0.003975 | Recon 0.029129
Epoch 048 | Train 0.057972 | Val 0.065962 | Pred 0.034603 | Latent 0.004138 | Recon 0.027221
Epoch 049 | Train 0.057471 | Val 0.066149 | Pred 0.034272 | Latent 0.004118 | Recon 0.027759
Epoch 050 | Train 0.057954 | Val 0.061384 | Pred 0.031194 | Latent 0.004000 | Recon 0.026190
Epoch 051 | Train 0.056103 | Val 0.060783 | Pred 0.031091 | Latent 0.004036 | Recon 0.025657
Epoch 052 | Train 0.054685 | Val 0.064104 | Pred 0.031968 | Latent 0.004753 | Recon 0.027383
Epoch 053 | Train 0.055949 | Val 0.062657 | Pred 0.032349 | Latent 0.004065 | Recon 0.026243
Epoch 054 | Train 0.054094 | Val 0.063875 | Pred 0.034160 | Latent 0.004769 | Recon 0.024946
Epoch 055 | Train 0.053640 | Val 0.058024 | Pred 0.029689 | Latent 0.003675 | Recon 0.024660
Epoch 056 | Train 0.051856 | Val 0.059011 | Pred 0.030190 | Latent 0.003922 | Recon 0.024898
Epoch 057 | Train 0.052109 | Val 0.057360 | Pred 0.029668 | Latent 0.003543 | Recon 0.024150
Epoch 058 | Train 0.051239 | Val 0.061006 | Pred 0.030984 | Latent 0.004281 | Recon 0.025741
Epoch 059 | Train 0.052159 | Val 0.055845 | Pred 0.028822 | Latent 0.003603 | Recon 0.023420
Epoch 060 | Train 0.049996 | Val 0.056476 | Pred 0.029251 | Latent 0.003983 | Recon 0.023242
Epoch 061 | Train 0.050434 | Val 0.057468 | Pred 0.029073 | Latent 0.003663 | Recon 0.024732
Epoch 062 | Train 0.050881 | Val 0.057718 | Pred 0.029737 | Latent 0.003867 | Recon 0.024114
Epoch 063 | Train 0.049325 | Val 0.054651 | Pred 0.028650 | Latent 0.003740 | Recon 0.022261
Epoch 064 | Train 0.048561 | Val 0.055634 | Pred 0.029158 | Latent 0.003778 | Recon 0.022698
Epoch 065 | Train 0.048947 | Val 0.057753 | Pred 0.030658 | Latent 0.003820 | Recon 0.023275
Epoch 066 | Train 0.046990 | Val 0.053996 | Pred 0.028123 | Latent 0.003987 | Recon 0.021886
Epoch 067 | Train 0.046896 | Val 0.050023 | Pred 0.025499 | Latent 0.003314 | Recon 0.021211
